Gene_Set,GS_size_in_data,High_importance_N,Overlap,Overlap_genes,Fold_Enrichment,P_value,FDR_BH,Sig_FDR5
HUB_HOUSEKEEPING,27,269,16,"ACTB,EEF2,GAPDH,HSP90AA1,HSPA8,RPL10,RPL11,RPL13A,RPL39,RPL5,RPS18,RPS27A,RPS3,RPS4X,RPS6,UBC",44.4,7.401392169307757e-24,1.0361949037030861e-22,True
COSMIC_CGC,47,269,17,"AKT1,BRCA1,CCND1,CDH1,CREBBP,CTNNB1,EGFR,EP300,ERBB2,ESR1,KIT,KRAS,MDM2,MYC,PIK3CA,PTEN,TP53",27.101,1.5596634579292247e-20,1.0917644205504574e-19,True
HALLMARK_MYC_TARGETS_V1,24,269,13,"BRCA1,CCND1,CUL1,EEF2,MDM2,MYC,RPL11,RPL13,RPL23,RPL26,RPL35A,RPS6,TP53",40.585,6.984188336051698e-19,3.2592878901574592e-18,True
HALLMARK_PI3K_AKT_MTOR_SIGNALING,28,269,10,"AKT1,BCL2,CCND1,EGFR,ERBB2,GSK3B,MDM2,PIK3CA,PIK3R1,PTEN",26.759,1.6118143818964173e-12,5.641350336637461e-12,True
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,22,269,7,"CDH1,CTNNB1,EGFR,FN1,ITGB1,SRC,TGFB1",23.84,1.0028146177787925e-08,2.8078809297806188e-08,True
HALLMARK_G2M_CHECKPOINT,19,269,5,"BUB1B,CCNB1,CDC20,CDK1,PLK1",19.717,4.071029341526315e-06,9.499068463561402e-06,True
PAM50_SIGNATURE,47,269,5,"BCL2,CCNB1,CDC20,EXO1,MYC",7.971,0.00039587597550219146,0.0007917519510043829,True
BASAL_SIGNATURE,14,269,3,"BRCA1,EGFR,TP53",16.055,0.0007674280504572044,0.0013429990883001078,True
LUMB_SIGNATURE,15,269,3,"CCNB1,CDC20,EXO1",14.985,0.0009498547076002014,0.0014775517673780909,True
HALLMARK_APOPTOSIS,19,269,3,"BCL2,CASP3,TP53",11.83,0.0019446238648630743,0.002722473410808304,True
HALLMARK_E2F_TARGETS,26,269,3,"CCNA2,CCNB1,CDK1",8.645,0.004870907529618532,0.006199336855878132,True
LUMA_SIGNATURE,15,269,2,"BCL2,ESR1",9.99,0.016617734500426157,0.01938735691716385,True
HALLMARK_HYPOXIA,17,269,2,"GAPDH,HIF1A",8.815,0.021150931603274598,0.02277792634198803,True
HER2_SIGNATURE,11,269,1,ERBB2,6.811,0.13742886360151796,0.13742886360151796,False
