node_id,name,omic_type,wdc,pagerank,betweenness,hybrid_score,gmm_label,gmm_confidence,prob_high,importance_label,hybrid_score_raw,entropy,confidence_penalized_score,in_kirc_signature,in_cosmic_cgc,rank
31263,TP53,methylation,0.6135770234986945,0.0008790207441802889,0.014128781556298067,1.0,3,1.0,1.0,High,0.24860817400840954,-1.4426951601859516e-10,1.000000000014427,False,True,1
39134,RPS27A,methylation,0.4386422976501306,0.00040331614070434534,0.004392824321637517,0.9999502858563262,3,1.0,1.0,High,0.17649681038066148,-1.4426951601859516e-10,0.9999502858707524,False,False,2
29426,EGFR,methylation,0.4247171453437772,0.0005769926411611972,0.006643566427773184,0.9999005717126522,3,1.0,1.0,High,0.17144636847953001,-1.4426951601859516e-10,0.9999005717270777,False,True,3
20848,CTNNB1,methylation,0.39251523063533506,0.0006069830296641103,0.011479586608789283,0.9998508575689784,3,1.0,1.0,High,0.15954480278775754,-1.4426951601859516e-10,0.9998508575834032,False,False,4
26302,UBA52,methylation,0.3742384682332463,0.00036153377634263854,0.002273719137762136,0.9998011434253045,3,0.9999999999999796,0.9999999999999796,High,0.150294744631388,-1.4424004449476005e-10,0.9998011434397256,False,False,5
30143,AKT1,methylation,0.36901653611836377,0.00047796938700335836,0.0068443476321807225,0.9997514292816306,3,0.9999999999999609,0.9999999999999609,High,0.149166671728583,-1.4421313571212803e-10,0.9997514292960484,False,True,6
28197,SRC,methylation,0.34986945169712796,0.0004750121021754017,0.005293731992789102,0.9997017151379568,3,0.9999999999969424,0.9999999999969424,High,0.1411965319182792,-1.3985839772284876e-10,0.9997017151519385,False,False,7
26543,ACTB,methylation,0.3307223672758921,0.00044436874879891474,0.009966717433445819,0.9996520009942829,3,0.9999999999027378,0.9999999999027378,High,0.13446003789656558,-3.949824878814218e-12,0.9996520009946778,False,False,8
29032,TNF,methylation,0.3289817232375979,0.0004040157657935741,0.004133841584616229,0.999602286850609,3,0.9999999997539701,0.9999999997539701,High,0.13258106391827984,2.106765474134417e-10,0.9996022868295497,False,False,9
38885,FAU,methylation,0.3237597911227154,0.00038101203873909436,0.005211712147896313,0.9995525727069351,3,0.9999999993866044,0.9999999993866044,High,0.13069866369416108,7.406732112770613e-10,0.9995525726329009,False,False,10
36547,RPS18,methylation,0.3202785030461271,0.00018481082348362982,0.0008373559943886594,0.9995028585632613,3,0.9999999981278673,0.9999999981278673,High,0.12835279674672204,2.5566470019500528e-09,0.9995028583077237,False,False,11
21237,IL6,methylation,0.3167972149695387,0.00035261254972062805,0.002600013414625869,0.9994531444195873,3,0.999999997048099,0.999999997048099,High,0.12737993369062894,4.114423333544405e-09,0.99945314400837,False,False,12
24990,RPS11,methylation,0.3072236727589208,0.0001693278475641231,0.00038751515938715317,0.9994034302759135,3,0.9999999785967761,0.9999999785967761,High,0.12303470327447141,3.073405507525628e-08,0.9994034272043415,False,False,13
32101,RPS9,methylation,0.3063533507397737,0.0001673602259349769,0.0002715284921093289,0.9993537161322397,3,0.9999999747409046,0.9999999747409046,High,0.12266259008470534,3.629690165265231e-08,0.9993537125048952,False,False,14
35472,HSP90AA1,methylation,0.29765013054830286,0.00040879713888230764,0.005596075220982297,0.9993040019885657,3,0.9999999300646449,0.9999999300646449,High,0.12034278611907052,1.0075111688754219e-07,0.9993039919204664,False,False,15
33076,MED1,methylation,0.29852045256744997,0.00020350828224202164,0.0015309747185643884,0.9992542878448919,3,0.999999911400823,0.999999911400823,High,0.11979577928358968,1.2767731809906262e-07,0.9992542750866812,False,False,16
22206,EP300,methylation,0.29416884247171454,0.00040038981987751377,0.004252098045582569,0.999204573701218,3,0.9999998569487243,0.9999998569487243,High,0.11867811252575333,2.0623508178785012e-07,0.9992045530941143,False,False,17
22638,RPS6,methylation,0.29416884247171454,0.00018274042925797284,0.0010513152058871818,0.9991548595575441,3,0.9999998052231457,0.9999998052231457,High,0.11795089620156644,2.808593049133808e-07,0.9991548314953502,False,False,18
31775,UBC,methylation,0.2898172323759791,0.0003861002642184547,0.0035024525716746634,0.9991051454138703,3,0.9999996817052996,0.9999996817052996,High,0.11678182357041397,4.590578431744994e-07,0.999105099549165,False,False,19
35142,RPS3,methylation,0.2863359442993908,0.00017446867298306085,0.0007890994151004599,0.9990554312701964,3,0.9999992672614975,0.9999992672614975,High,0.11476198507196965,1.0569735470714145e-06,0.9990553256726801,False,False,20
